# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	4157.111861165365	74.47089788330709	55.82196508063314	4133.503323800223	29.296699619796456	141.09109140085937	23.608537365141274	0.0056790719503331056	3717.0322114490327	75.53818251255538	49.207329165368996	3691.4108590262276	27.768039980629297	132.93739355033046	25.621352422805103	0.006892959480923352
2	5231.381423223586	77.28172279790097	67.69234993510878	5208.891585286458	29.416046816164783	177.076533017484	22.48983793712796	0.0042990246968590716	4703.620152064732	77.60809946648621	60.60733588890311	4678.583244977679	28.248715735179395	165.62109544510122	25.036907087052896	0.005322901568925061
3	6606.19158296131	90.27448007266791	73.1789491076941	6575.777927362351	34.56354246231997	190.25185090709513	30.41365559895894	0.004603810715602291	6016.056620861235	90.76605420490415	66.28090946071096	5982.385234142485	32.90322255764767	181.8176084017644	33.67138671875	0.005596919849788537
4	8419.815333193825	101.14405551186255	83.24577544951535	8381.532917131697	38.322996041033335	218.70766336111592	38.282416062127595	0.0045467049510225085	7785.225569661458	101.61321309197876	76.61627196666232	7742.7274204799105	36.073100273416756	214.63992176424426	42.49814918154789	0.005458820531438491
5	10897.840380859376	116.83023506134107	93.27928147313514	10858.16142578125	41.34056662158582	262.65149012523943	39.678955078125	0.003640992498643664	10238.080010695685	117.55849088347297	87.08924326737008	10192.857010323662	39.76776917370891	256.3094994290582	45.22300037202331	0.0044171368386239414
6	14477.919008091518	123.79065022543477	116.95486679911467	14436.41150251116	47.515199387212185	303.8272318898539	41.50750558035725	0.0028669524644501223	13823.635856119792	124.78968064541644	110.77547265626036	13774.642924572172	46.40516686395858	296.83425048236387	48.992931547620174	0.0035441422255007363
7	20094.52220982143	160.72331303264426	125.02555995557448	20051.05072544643	61.10988267888867	328.11469841642105	43.47148437500073	0.002163349987677415	19491.613388206846	160.56342632820034	121.39510120047471	19437.587355840773	59.9437773131521	324.2636388143666	54.026032366073196	0.0027717578473396647
8	30381.442629278274	192.39565040664016	157.91127587897756	30337.980631510418	75.53115391439589	401.66181845830556	43.46199776785579	0.0014305442403835006	29882.804027157737	191.44945581948465	156.08717141162242	29823.16118861607	74.53853301942036	400.10394597980496	59.6428385416657	0.0019958916334444987
9	59230.35433407738	299.6296104463122	197.6785747104601	59274.08915550595	124.5328551397931	475.9714943415408	-43.73482142856665	-0.0007383852742445002	58868.5791015625	299.05778326741176	196.84683828784802	58880.438802083336	123.56018868216364	476.53244487625926	-11.859700520835759	-0.00020146062129977545
10	60260.054343377975	306.0795670833396	196.8770895672703	60301.10720796131	119.59178252268809	504.22450385770793	-41.05286458333285	-0.000681261658832941	59990.72853422619	306.47005991478164	195.74743631044242	59999.29739583333	119.70733488249105	501.2165499693963	-8.568861607142026	-0.00014283643183718428
