# step	rosi_total_mean	rosi_total_stddev	rosi_total_snr	mcray_total_mean	mcray_total_stddev	mcray_total_snr	delta_total	reldev_total	rosi_primary_mean	rosi_primary_stddev	rosi_primary_snr	mcray_primary_mean	mcray_primary_stddev	mcray_primary_snr	delta_primary	reldev_primary
1	3858.50503452846	79.27577516370292	48.67193069460025	3845.292230515253	67.70150953866644	56.7977325279444	13.212804013207005	0.003424332453883066	3229.3925938197544	79.30589885494467	40.72071107505522	3213.2990054175966	55.99001150034449	57.39057591366679	16.09358840215782	0.004983472258206358
2	5419.362613932291	93.02137144461337	58.259328257260535	5393.485994466146	84.4039977565141	63.90083571663392	25.876619466145712	0.004774845550954861	4652.591519019717	93.85728792827021	49.570913689466806	4622.566170247396	72.4742303636812	63.7822043373349	30.025348772321195	0.006453467631873132
3	7585.525418526786	116.95997593408623	64.85573682745687	7551.681790597098	115.03604733257909	65.64622103856314	33.8436279296875	0.004461606291243619	6702.471132114955	119.01215120070854	56.31753618848167	6662.650081380209	101.00446529446626	65.96391616901353	39.82105073474668	0.0059412491228710744
4	10620.469889322916	136.5364866781799	77.78484819486856	10577.13652576265	128.52090283760518	82.29895909716394	43.33336356026666	0.004080173854061864	9647.083779761904	136.97358864535423	70.43024772271751	9595.145603143601	115.85420930421164	82.82086305512242	51.93817661830326	0.005383821453614983
5	14908.424465215774	165.56350714422578	90.04656111946662	14859.22007998512	168.25878826943227	88.31170266239585	49.204385230654225	0.0033004416627295213	13882.065069289434	166.59872207679342	83.3263598678177	13820.475339471726	156.88583182881516	88.09256500964241	61.58972981770785	0.004436640334870608
6	20995.316824776786	214.03516683855918	98.0928374289678	20968.97513950893	191.30530522707667	109.61000331182167	26.34168526785652	0.001254645761609581	19973.842866443454	214.4513373995955	93.13927862909718	19929.670377604165	181.8240754757079	109.60963406777675	44.172488839289144	0.0022115167889650324
7	29706.002646019344	246.5318444723647	120.49560051601884	29684.492471168156	244.73161809729706	121.294063684761	21.510174851187912	0.0007241019637514343	28772.57136346726	245.9901592129871	116.96635123746937	28725.371823846726	237.23522497127098	121.08392346594124	47.19953962053478	0.0016404352264623929
8	42182.61671316964	320.0643565344963	131.7941715531927	42211.52137276786	301.8714583710873	139.83276723325628	-28.904659598214494	-0.0006852268031345316	41424.939527529765	319.0376815933625	129.84340696259497	41416.84378720238	296.8920831618343	139.50134118135537	8.095740327386011	0.00019543155451092031
9	60181.110091145834	418.71370324567323	143.72854201964242	60236.70939360119	384.3764166368533	156.7128127179325	-55.59930245535361	-0.0009238663489448273	59635.66845238095	420.094771648249	141.9576545035288	59637.99860491072	381.181796387144	156.45552639229365	-2.330152529764746	-3.9073135092388065e-05
10	60406.94910714286	422.3088224402484	143.03975171082226	60458.875241815476	394.70734720900055	153.17392916378128	-51.92613467261981	-0.0008596053176021063	60009.59595424107	422.9846511494993	141.87180501977915	60007.919893973216	390.98242186003876	153.47984088004458	1.676060267855064	2.7929870901532233e-05
